Customer,Branch,Last_Order_Date,Frequency,Monetary,Recency,R_Score_Current,F_Score_Current,M_Score_Current,RFM_Score_Current,Segment_Name_Current
Abi Salon- Kupang,Kupang,10/27/2025,4,1281600,28,3,4,3,343,Needs Attention Customers
Acc Salon - Balikpapan,Balikpapan,11/14/2025,1,63899.99,10,4,1,1,411,Potential Loyalists Customers
Ade Salon - Tarakan,Balikpapan,11/11/2025,17,82704000,13,4,5,5,455,Top Customers
Adrian Hairdesign,Jakarta,10/30/2025,2,262800,25,3,2,1,321,Promising Customers
Agnes Salon (Mr. Ady)- Jakarta,Jakarta,10/9/2025,5,3356999.98,46,1,4,4,144,At Risk Customers
Aini Salon Ii - Jakarta,Balikpapan,11/22/2025,3,9219000,2,5,3,5,535,Loyal Customers
Aldita Beauty Studio- Medan,Medan,10/31/2025,2,728999.98,24,4,2,2,422,Potential Loyalists Customers
All-Q Salon- Jakarta,Balikpapan,11/20/2025,15,23437000,4,5,5,5,555,Top Customers
Alyns Salon- Medan,Balikpapan,10/31/2025,2,2088000.02,24,4,2,3,423,Lost Customers
Amanda Tania  Salon,Jakarta,10/6/2025,3,4387499.97,49,1,3,4,134,At Risk Customers
Amberly Beauty Salon,Jakarta,11/13/2025,1,1112400,11,4,1,2,412,Potential Loyalists Customers
Ami Salon- Jakarta,Jakarta,10/8/2025,9,14592000,47,1,5,5,155,At Risk Customers
Ana Salon - Hos Cokroaminoto- Medan,Medan,10/20/2025,2,1250000.19,35,2,2,2,222,At Risk Customers
Andie Salon- Medan,Balikpapan,11/11/2025,15,19435518.26,13,4,5,5,455,Top Customers
Andin Salon & Spa- Kupang,Balikpapan,10/27/2025,2,748799.98,28,3,2,2,322,Promising Customers
Andry Salon - Padang,Balikpapan,11/12/2025,7,3789402.35,12,4,5,4,454,Top Customers
Anggi Salon- Pekanbaru,Pekanbaru,11/19/2025,1,1215000.01,5,5,1,2,512,Potential Loyalists Customers
Angkasa Salon I - Jakarta,Balikpapan,11/5/2025,6,1369800,19,4,4,3,443,Loyal Customers
Ani Beauty Salon - Balikpapan,Balikpapan,11/4/2025,3,982800.03,20,4,3,2,432,Lost Customers
