ID,Customer,BranchCode,Branch,Date,Month,MonthNumber,Day,Posting Time,Payment Due Date,Grand Total,Status,Grand Total (Company Currency),Outstanding Amount,Is Return (Credit Note),Tax Status,Include Payment (POS),Is Rate Adjustment Entry (Debit Note),Source,Price List,Ignore Pricing Rule,Total Quantity,Total,Total (Company Currency),Total Net Weight,Total Poin Item Merchendise,Net Total,Net Total (Company Currency),Total Taxes and Charges,Total Taxes and Charges (Company Currency),Rounding Adjustment,Rounding Adjustment (Company Currency),Rounded Total,Rounded Total (Company Currency),Total Advance,Additional Discount Amount,Apply Additional Discount On,Additional Discount Amount (Company Currency),Additional Discount Percentage,Sub Total,Sub Total After Loyalty,Disc Loyalty,DPP,DPP After Loyalty,Disc Reguler (%),PPN,Disc Reguler Amount,Biaya Pengiriman,Biaya Administrasi,Extra Disc (%),Extra Disc Amount,Rabat Amount,Sub Total After Disc,Rate (Company Currency) (Sales Invoice Item),Amount (Sales Invoice Item),Amount (Company Currency) (Sales Invoice Item),Income Account (Sales Invoice Item),Rate (Sales Invoice Item),Party Account Currency,Item Name (Sales Invoice Item),Item (Sales Invoice Item),Quantity
ACC-SINV-2025-03114,Sofia Salon - Ambon,AMB,Ambon,11/18/2025,November,11,Tuesday,0 days 12:43:14.625000,11/18/2025,175500,Paid,175500,0,0,Non Tax,0,0,Apps,HET PRICE,1,2,295000,295000,30,0,158108.11,158108.11,17391.89,17391.89,0,0,175500,175500,0,17567.57,Net Total,17567.57,10,295000,195000,100000,158108.1057,175675.6757,10,17391.89,17567.57,0,0,0,0,0,158108.1057,125000,125000,125000,4100.0000.043.000 - PENJUALAN BARANG USAHA AMB - SBI,125000,IDR,Terra Diverde Serum Blu Seed Oil (3 X 10 ml),1020402011,1
ACC-SINV-2025-03114,Sofia Salon - Ambon,AMB,Ambon,11/18/2025,November,11,Tuesday,0 days 12:43:14.625000,11/18/2025,175500,Paid,175500,0,0,Non Tax,0,0,Apps,HET PRICE,1,2,295000,295000,30,0,158108.11,158108.11,17391.89,17391.89,0,0,175500,175500,0,17567.57,Net Total,17567.57,10,295000,195000,100000,158108.1057,175675.6757,10,17391.89,17567.57,0,0,0,0,0,158108.1057,170000,170000,170000,4100.0000.043.000 - PENJUALAN BARANG USAHA AMB - SBI,170000,IDR,Terra Diverde Energizing Action Shampoo 250 ml,1020301011,1
ACC-SINV-2025-03122,Difa Salon - Ambon,AMB,Ambon,11/18/2025,November,11,Tuesday,0 days 15:42:25.495000,11/18/2025,278100,Paid,278100,0,0,Non Tax,0,0,Apps,HET PRICE,1,3,309000,309000,0,0,250540.54,250540.54,27559.46,27559.46,0,0,278100,278100,0,27837.84,Net Total,27837.84,10,309000,309000,0,250540.5384,278378.3784,10,27559.46,27837.84,0,0,0,0,0,250540.5384,103000,309000,309000,4100.0000.043.000 - PENJUALAN BARANG USAHA AMB - SBI,103000,IDR,Ilvasto Hair Cream Colourant 1.0 Black 100 ml Vegan,1010201011,3
ACC-SINV-2025-03150,Paris Salon - Ambon,AMB,Ambon,11/19/2025,November,11,Wednesday,0 days 14:02:06.254000,11/19/2025,240300,Paid,240300,0,0,Non Tax,0,0,Apps,HET PRICE,1,3,267000,267000,1500,0,216486.49,216486.49,23813.51,23813.51,0,0,240300,240300,0,24054.05,Net Total,24054.05,10,267000,267000,0,216486.4905,240540.5405,10,23813.51,24054.05,0,0,0,0,0,216486.4905,89000,267000,267000,4100.0000.043.000 - PENJUALAN BARANG USAHA AMB - SBI,89000,IDR,Sleek Et Lisse Step 2 Cream Neutralizer 500 ml,1050203011,3
ACC-SINV-2025-03193,Intan Salon- Ambon,AMB,Ambon,11/20/2025,November,11,Thursday,0 days 14:23:31.553000,11/20/2025,1192500,Paid,1192500,0,0,Non Tax,0,0,Apps,HET PRICE,1,5,1925000,1925000,1250,0,1074324.32,1074324.32,118175.68,118175.68,0,0,1192500,1192500,0,119369.37,Net Total,119369.37,10,1925000,1325000,600000,1074324.324,1193693.694,10,118175.68,119369.37,0,0,0,0,0,1074324.324,385000,1925000,1925000,4100.0000.043.000 - PENJUALAN BARANG USAHA AMB - SBI,385000,IDR,Ilvasto Smartplex Filler Drops 250 ml New,1010601021,5
ACC-SINV-2025-03258,PERMATA SALON- Ambon,AMB,Ambon,11/24/2025,November,11,Monday,0 days 10:55:21.188000,11/24/2025,882899.99,Paid,882899.99,0,0,Non Tax,0,0,Apps,HET PRICE,1,4,981000,981000,1100,0,795405.4,795405.4,87494.59,87494.59,0.01,0.01,882900,882900,0,88378.38,Net Total,88378.38,10,981000,981000,0,795405.4038,883783.7838,10,87494.59,88378.38,0,0,0,0,0,795405.4038,138000,138000,138000,4100.0000.043.000 - PENJUALAN BARANG USAHA AMB - SBI,138000,IDR,Hair Food Seven Hair Serum  100 ml,2030202022,1
ACC-SINV-2025-03258,PERMATA SALON- Ambon,AMB,Ambon,11/24/2025,November,11,Monday,0 days 10:55:21.188000,11/24/2025,882899.99,Paid,882899.99,0,0,Non Tax,0,0,Apps,HET PRICE,1,4,981000,981000,1100,0,795405.4,795405.4,87494.59,87494.59,0.01,0.01,882900,882900,0,88378.38,Net Total,88378.38,10,981000,981000,0,795405.4038,883783.7838,10,87494.59,88378.38,0,0,0,0,0,795405.4038,327000,327000,327000,4100.0000.043.000 - PENJUALAN BARANG USAHA AMB - SBI,327000,IDR,Terra Diverde Blu Spa Mask 1000 ml,1020401011,1
ACC-SINV-2025-03258,PERMATA SALON- Ambon,AMB,Ambon,11/24/2025,November,11,Monday,0 days 10:55:21.188000,11/24/2025,882899.99,Paid,882899.99,0,0,Non Tax,0,0,Apps,HET PRICE,1,4,981000,981000,1100,0,795405.4,795405.4,87494.59,87494.59,0.01,0.01,882900,882900,0,88378.38,Net Total,88378.38,10,981000,981000,0,795405.4038,883783.7838,10,87494.59,88378.38,0,0,0,0,0,795405.4038,400000,400000,400000,4100.0000.043.000 - PENJUALAN BARANG USAHA AMB - SBI,400000,IDR,Hair Bath Vanilla dan Strawberry 1000Gr Free Hair Bath Chocolate 1000Gr,SD3C32001,1
ACC-SINV-2025-03258,PERMATA SALON- Ambon,AMB,Ambon,11/24/2025,November,11,Monday,0 days 10:55:21.188000,11/24/2025,882899.99,Paid,882899.99,0,0,Non Tax,0,0,Apps,HET PRICE,1,4,981000,981000,1100,0,795405.4,795405.4,87494.59,87494.59,0.01,0.01,882900,882900,0,88378.38,Net Total,88378.38,10,981000,981000,0,795405.4038,883783.7838,10,87494.59,88378.38,0,0,0,0,0,795405.4038,116000,116000,116000,4100.0000.043.000 - PENJUALAN BARANG USAHA AMB - SBI,116000,IDR,Hair Food Serum Almond Oil (3 X 16 ml),2030201012,1
ACC-SINV-2025-02513,GBEAUTY BY GINA,BJM,Banjarmasin,10/21/2025,October,10,Tuesday,0 days 12:05:38.758000,10/21/2025,693000,Paid,693000,0,0,Non Tax,0,0,ERP,HET PRICE,0,2,770000,770000,500,0,624324.32,624324.32,68675.68,68675.68,0,0,693000,693000,0,69369.37,Net Total,69369.37,10,770000,770000,0,693693.6937,693693.6937,10,68675.68,69369.37,0,0,0,0,0,624324.3237,385000,770000,770000,4100.0000.033.000 - PENJUALAN BARANG USAHA BJM - SBI,385000,IDR,Ilvasto Smartplex Filler Drops 250 ml New,1010601021,2
